Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
28-22 ASTORIA BOULEVARD APARTMENTS,Multifamily Incentives Program,Queens,11102.0,22.0,69,QN71,New Construction,Non Prevailing Wage,0,0,6,6,0,6,25
141 WOODBINE STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,417,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,370,BX44,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
"Harlem Cluster-Artimus Construction, Inc.",Multifamily Finance Program,Manhattan,10030.0,9.0,226,MN03,Preservation,Non Prevailing Wage,0,3,6,10,0,10,10
MT HOPE PRESERVATION APARTMENTS LLC.PLP.FY18,Multifamily Finance Program,Bronx,10453.0,14.0,251,BX36,Preservation,Non Prevailing Wage,2,17,1,20,0,20,20
West 204 Street Project,Multifamily Finance Program,Manhattan,10034.0,10.0,299,MN01,Preservation,Non Prevailing Wage,2,14,10,31,0,31,31
THE GRAND,Multifamily Finance Program,Bronx,10457.0,15.0,23502,BX41,New Construction,Non Prevailing Wage,4,6,36,52,0,52,52
PROSPECT PLAZA - SITE 3,Multifamily Finance Program,Brooklyn,11233.0,41.0,363,BK79,New Construction,Non Prevailing Wage,27,19,88,135,0,135,135
1 BELL SLIP,Multifamily Incentives Program,Brooklyn,11222.0,33.0,563,BK76,New Construction,Non Prevailing Wage,0,0,42,107,0,107,414
682 BUSHWICK AVENUE,Multifamily Incentives Program,Brooklyn,11221.0,34.0,393,BK78,New Construction,Non Prevailing Wage,0,0,5,5,0,5,23
MATSIA REALTY HDFC.HPO.FY18,Multifamily Finance Program,Bronx,10455.0,8.0,31,BX39,Preservation,Non Prevailing Wage,7,25,44,77,0,77,77
15 CEDAR STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,393,BK78,New Construction,Non Prevailing Wage,0,0,0,8,0,8,25
KNICKERBOCKER VILLAGE,Multifamily Incentives Program,Manhattan,10002.0,1.0,8,MN27,Preservation,Non Prevailing Wage,0,0,76,137,0,137,137
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105804,BK93,Preservation,Non Prevailing Wage,0,80,52,132,0,132,132
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10027.0,9.0,21303,MN06,Preservation,Non Prevailing Wage,0,9,0,9,0,9,9
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,53,BK33,Preservation,Non Prevailing Wage,0,0,2,2,0,2,2
BAM Cultural District North Site Tower II,Multifamily Finance Program,Brooklyn,11217.0,35.0,33,BK68,New Construction,Non Prevailing Wage,0,0,25,50,0,50,123
1613 REALTY LTD.GHPP.FY20,Multifamily Finance Program,Bronx,10459.0,17.0,125,BX35,Preservation,Non Prevailing Wage,1,9,21,32,0,32,32
