Project Name,Program Group,Borough,Postcode,Council District,Census Tract,NTA - Neighborhood Tabulation Area,Reporting Construction Type,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,Low Income Units,Counted Rental Units,Counted Homeownership Units,All Counted Units,Total Units
Habitat-NYC Single Family Homes Phase I,Small Homes Program,Queens,11411.0,27.0,608,QN33,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
100 HIMROD STREET,Multifamily Incentives Program,Brooklyn,11221.0,34.0,421,BK78,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
74 W 105th Street,Multifamily Incentives Program,Manhattan,10025.0,7.0,189,MN12,Preservation,Non Prevailing Wage,0,0,0,10,0,10,10
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105804,BK93,Preservation,Non Prevailing Wage,0,51,33,84,0,84,84
DOE. 1420 CROTONA PARK EAST,Multifamily Finance Program,Bronx,10457.0,17.0,163,BX99,New Construction,Prevailing Wage,60,0,0,60,0,60,60
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11221.0,36.0,265,BK75,Preservation,Non Prevailing Wage,1,13,5,20,0,20,20
FRANKLIN PLAZA APARTMENTS INC.HRP.FY18,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,0,114,0,0,114,114,114
CASA PASIVA LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11221.0,37.0,419,BK78,Preservation,Non Prevailing Wage,3,9,2,14,0,14,14
Acacia Gardens,Multifamily Finance Program,Manhattan,10035.0,8.0,192,MN34,New Construction,Non Prevailing Wage,54,0,106,179,0,179,179
21 ARDEN STREET,Multifamily Finance Program,Manhattan,10040.0,10.0,285,MN35,Preservation,Non Prevailing Wage,0,0,0,0,15,15,15
DIEGO BEEKMAN MHA.GHPP.FY18,Multifamily Finance Program,Bronx,10454.0,8.0,33,BX39,Preservation,Non Prevailing Wage,28,11,33,73,0,73,73
516 WEST 162 STREET,Multifamily Incentives Program,Manhattan,10032.0,7.0,245,MN36,New Construction,Non Prevailing Wage,0,0,0,6,0,6,20
312 DEVOE STREET,Multifamily Incentives Program,Brooklyn,11211.0,34.0,481,BK90,New Construction,Non Prevailing Wage,0,0,0,7,0,7,22
PUTNAM,Multifamily Finance Program,Brooklyn,11221.0,36.0,385,BK35,Preservation,Non Prevailing Wage,0,2,4,6,0,6,6
88 JEFFERSON STREET,Multifamily Incentives Program,Brooklyn,11206.0,34.0,391,BK78,New Construction,Non Prevailing Wage,0,0,3,3,0,3,15
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1162,BK82,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
194 LEXINGTON AVENUE,Multifamily Incentives Program,Brooklyn,11216.0,36.0,243,BK75,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
HUNTERS POINT SOUTH PARCELS F AND G,Multifamily Finance Program,Queens,11101.0,26.0,1,QN31,New Construction,Non Prevailing Wage,66,44,22,332,0,332,443
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,227,BK69,Preservation,Non Prevailing Wage,0,0,9,9,0,9,9
JENKINS PORTFOLIO COMPANIES LLC.YR15.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,0,13,2,15,0,15,15
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,188,MN34,Preservation,Non Prevailing Wage,0,6,3,9,0,9,9
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,100,BK34,Preservation,Non Prevailing Wage,5,1,0,6,0,6,6
SPRING CREEK PHASE 4B-1,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,3,2,3,8,0,8,8
NORTH BROOKLYN OPPORTUNITIES (NBO),Multifamily Finance Program,Brooklyn,11206.0,34.0,511,BK90,New Construction,Non Prevailing Wage,0,1,5,6,0,6,6
CYPRESS. 137 JAMAICA AVENUE,Multifamily Finance Program,Brooklyn,11207.0,37.0,114201,BK83,New Construction,Prevailing Wage,53,0,0,54,0,54,54
EAST VILLAGE I HDFC.HUDMF.FY18,Multifamily Finance Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Non Prevailing Wage,40,4,0,46,0,46,46
128 HURON STREET,Multifamily Incentives Program,Brooklyn,11222.0,33.0,563,BK76,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,0,11,11,0,11,11
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,426,BX62,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
CAMBER. 3-11 W118TH ST. VICTORY PLAZA,Multifamily Finance Program,Manhattan,10026.0,9.0,190,MN11,New Construction,Prevailing Wage,135,0,0,136,0,136,136
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,247,BK61,Preservation,Non Prevailing Wage,1,10,5,16,0,16,16
1755 WATSON AVENUE,Multifamily Finance Program,Bronx,10472.0,18.0,70,BX55,New Construction,Non Prevailing Wage,23,32,67,123,0,123,123
Hunts Point Cluster,Multifamily Finance Program,Bronx,10474.0,17.0,93,BX27,Preservation,Non Prevailing Wage,0,1,3,8,0,8,8
PROSPECT PARK SOUTH PORTFOLIO.HPO.FY20,Multifamily Finance Program,Brooklyn,11226.0,40.0,51001,BK42,Preservation,Non Prevailing Wage,0,12,12,34,0,34,34
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
MHANY 2004 HDFC.HPOP.FY17,Multifamily Finance Program,Manhattan,10035.0,8.0,188,MN34,Preservation,Non Prevailing Wage,0,5,24,30,0,30,30
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,9,93,0,93,93
679 GRAND LLC,Multifamily Incentives Program,Brooklyn,11211.0,34.0,495,BK90,New Construction,Non Prevailing Wage,0,0,2,2,0,2,10
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11238.0,35.0,215,BK64,Preservation,Non Prevailing Wage,10,10,7,29,0,29,29
HCCI 2,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,0,0,2,10,0,10,10
2953 BARNES AVENUE APARTMENTS,Multifamily Incentives Program,Bronx,10467.0,13.0,340,BX07,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1132,BK85,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
CROWN GARDENS HOUSING CORPORATION,Multifamily Finance Program,Brooklyn,11225.0,35.0,319,BK63,Preservation,Non Prevailing Wage,3,229,6,0,239,239,239
FULTON JEFFERSON HDFC.YR15.FY18,Multifamily Finance Program,Bronx,10456.0,16.0,149,BX35,Preservation,Non Prevailing Wage,4,15,1,20,0,20,20
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,12,0,12,0,12,12
HCCI 2 Phase II,Multifamily Finance Program,Manhattan,10026.0,9.0,216,MN11,Preservation,Non Prevailing Wage,0,0,53,53,0,53,53
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11216.0,36.0,269,BK75,Preservation,Non Prevailing Wage,1,2,2,5,0,5,5
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,156,51,0,207,207,207
GATEWAY ELTON III,Multifamily Finance Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,41,94,136,0,136,136
MHANY 2,Multifamily Finance Program,Brooklyn,11207.0,37.0,1152,BK82,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11205.0,33.0,235,BK69,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
TBK905 - Bridge Street,Multifamily Finance Program,Brooklyn,11215.0,39.0,149,BK37,Preservation,Non Prevailing Wage,2,0,0,8,0,8,8
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11238.0,35.0,199,BK69,Preservation,Non Prevailing Wage,2,4,0,7,0,7,7
GLENDALE APARTMENTS.PILLARS.FY19,Multifamily Finance Program,Queens,11385.0,30.0,577,QN19,Preservation,Non Prevailing Wage,0,5,10,24,0,24,24
BSDC 233 STUYVESANT AVE HDFC.PLP.FY18,Multifamily Finance Program,Brooklyn,11221.0,36.0,293,BK35,Preservation,Non Prevailing Wage,2,0,1,8,0,8,8
Kings Villas - St. Nicks,Multifamily Finance Program,Brooklyn,11207.0,42.0,1162,BK82,Preservation,Non Prevailing Wage,0,1,5,6,0,6,6
BFC. 140 ESSEX ST. ESSEX CROSSING SITE 8,Multifamily Finance Program,Manhattan,10002.0,1.0,3001,MN27,New Construction,Non Prevailing Wage,28,34,30,93,0,93,93
MONTAUK HOUSING LLC.HUDMF.FY18,Multifamily Finance Program,Queens,11412.0,27.0,366,QN08,Preservation,Non Prevailing Wage,3,0,0,3,0,3,3
COOPER SQUARE MHA - PHASE 1.GHPP.FY20,Multifamily Finance Program,Manhattan,10003.0,2.0,38,MN22,Preservation,Non Prevailing Wage,12,3,0,1,14,15,15
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,12,0,12,0,12,12
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11206.0,36.0,261,BK75,Preservation,Non Prevailing Wage,1,5,0,6,0,6,6
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,42.0,1132,BK85,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
"Harlem Cluster-Artimus Construction, Inc.",Multifamily Finance Program,Manhattan,10037.0,9.0,212,MN03,Preservation,Non Prevailing Wage,0,0,0,21,0,21,21
MONTAUK HOUSING LLC.HUDMF.FY18,Multifamily Finance Program,Queens,11412.0,27.0,366,QN08,Preservation,Non Prevailing Wage,3,0,0,3,0,3,3
CROTONA ESTATES,Multifamily Incentives Program,Bronx,10457.0,17.0,163,BX99,Preservation,Non Prevailing Wage,0,0,50,50,0,50,51
DREAMYARD NEP HDFC.YR15.FY2017,Multifamily Finance Program,Bronx,10456.0,16.0,17701,BX14,Preservation,Non Prevailing Wage,4,6,11,22,0,22,22
Tahl-Propp - AIMCO,Multifamily Finance Program,Manhattan,10026.0,9.0,186,MN11,Preservation,Non Prevailing Wage,25,0,0,25,0,25,25
ESPLANADE GARDENS INCORPORATED.PLP.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,236,MN03,Preservation,Non Prevailing Wage,19,293,0,0,312,312,312
CSH,Multifamily Finance Program,Brooklyn,11233.0,41.0,373,BK79,Preservation,Non Prevailing Wage,0,1,5,6,0,6,6
Edward Dozier HDFC,Multifamily Finance Program,Manhattan,10031.0,7.0,219,MN06,Preservation,Non Prevailing Wage,0,10,8,18,0,18,18
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,78,BK32,Preservation,Non Prevailing Wage,15,0,0,16,0,16,16
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11238.0,35.0,305,BK61,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
CSH,Multifamily Finance Program,Brooklyn,11212.0,41.0,900,BK81,Preservation,Non Prevailing Wage,0,2,16,26,0,26,26
LAFAYETTE MORRISON APARTMENTS,Multifamily Incentives Program,Bronx,10473.0,17.0,28,BX09,Preservation,Non Prevailing Wage,4,189,21,0,222,222,222
STAGG 1 - AMANDA'S COVE.HPO.FY19,Multifamily Finance Program,Bronx,10469.0,12.0,386,BX03,Preservation,Non Prevailing Wage,0,0,2,3,0,3,3
SAINT MARKS APARTMENTS,Multifamily Incentives Program,Brooklyn,11206.0,34.0,389,BK78,New Construction,Non Prevailing Wage,0,0,20,20,0,20,99
WEST 144 CLUSTER LLC.YR15.FY21,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,17,6,1,24,0,24,24
9 FORT WASHINGTON AVENUE CLUSTER,Multifamily Finance Program,Manhattan,10032.0,7.0,245,MN36,Preservation,Non Prevailing Wage,0,0,0,0,24,24,24
615 ST JOHN'S PLACE APARTMENTS,Multifamily Incentives Program,Brooklyn,11238.0,35.0,217,BK61,New Construction,Non Prevailing Wage,0,0,0,3,0,3,7
Edgecombe Preservation Reyndication (Phase),Multifamily Finance Program,Manhattan,10030.0,9.0,227,MN04,Preservation,Non Prevailing Wage,0,0,30,30,0,30,30
NYCHA Section 8,Multifamily Finance Program,Bronx,10455.0,17.0,71,BX34,Preservation,Non Prevailing Wage,0,0,207,207,0,207,207
BEC CONTINUUM HDFC.YR15.FY2017,Multifamily Finance Program,Brooklyn,11206.0,36.0,261,BK75,Preservation,Non Prevailing Wage,0,2,0,2,0,2,2
Harlen Park 70 West 139th Street,Multifamily Finance Program,Manhattan,10037.0,9.0,212,MN03,New Construction,Non Prevailing Wage,0,0,0,0,42,42,64
NCV HOPE LLC.PLP.FY19 (MOUNT HOPE RENAISSANCE),Multifamily Finance Program,Bronx,10453.0,14.0,241,BX41,Preservation,Non Prevailing Wage,0,17,12,29,0,29,29
MHANY DUMONT HDFC.PLP.FY19,Multifamily Finance Program,Brooklyn,11207.0,42.0,1120,BK82,Preservation,Non Prevailing Wage,1,3,5,10,0,10,10
PACC ABCCD RESYNDICATION,Multifamily Finance Program,Brooklyn,11216.0,36.0,263,BK75,Preservation,Non Prevailing Wage,0,0,4,4,0,4,4
88 HART STREET,Multifamily Incentives Program,Brooklyn,11206.0,36.0,261,BK75,New Construction,Non Prevailing Wage,0,0,2,2,0,2,10
TBK902 - Shinda,Multifamily Finance Program,Brooklyn,11221.0,34.0,423,BK78,Preservation,Non Prevailing Wage,0,0,0,0,0,0,6
Marcus Garvey Apartments (20140295),Multifamily Incentives Program,Brooklyn,11212.0,41.0,924,BK81,Preservation,Non Prevailing Wage,0,0,36,36,0,36,36
TANYA TOWERS,Multifamily Incentives Program,Manhattan,10009.0,2.0,28,MN28,Preservation,Non Prevailing Wage,0,0,137,137,0,137,138
HP HUTCHINSON RIVER PARKWAY HDFC.HPO.FY20,Multifamily Finance Program,Bronx,10461.0,13.0,26601,BX10,Preservation,Non Prevailing Wage,0,0,44,44,0,44,44
MHANY 75,Multifamily Finance Program,Brooklyn,11208.0,37.0,1192,BK82,Preservation,Non Prevailing Wage,1,4,0,5,0,5,5
CELEBRATION TOWNHOUSES,Multifamily Finance Program,Staten Island,10304.0,49.0,40,SI08,Preservation,Non Prevailing Wage,0,0,11,0,11,11,11
WATERSIDE PLAZA.HPO.FY20,Multifamily Finance Program,Manhattan,10010.0,4.0,62,MN20,Preservation,Non Prevailing Wage,0,0,0,77,0,77,360
PRC Andrews Avenue,Multifamily Finance Program,Bronx,10453.0,14.0,21501,BX36,Preservation,Non Prevailing Wage,0,82,0,82,0,82,82
WEST 135TH STREET APARTMENTS,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,2,20,22,0,22,22
STARRETT CITY,Multifamily Incentives Program,Brooklyn,11239.0,42.0,105801,BK93,Preservation,Non Prevailing Wage,0,80,52,132,0,132,132
Halle Housing Associates,Multifamily Finance Program,Brooklyn,11217.0,33.0,39,BK38,Preservation,Non Prevailing Wage,0,0,201,202,0,202,202
SUNSET PARK APARTMENTS HDFC.HUDMF.FY17,Multifamily Finance Program,Brooklyn,11220.0,38.0,76,BK32,Preservation,Non Prevailing Wage,3,0,0,3,0,3,3
211 West 147 Street,Multifamily Finance Program,Manhattan,10039.0,9.0,234,MN03,Preservation,Non Prevailing Wage,0,0,12,0,12,12,12
BPR HDFC.HPO.FY19,Multifamily Finance Program,Bronx,10459.0,17.0,119,BX27,Preservation,Non Prevailing Wage,0,10,5,16,0,16,16
JOE CENTRAL BROOKLYN LLC.YR15.FY19,Multifamily Finance Program,Brooklyn,11212.0,42.0,916,BK81,Preservation,Non Prevailing Wage,1,9,2,12,0,12,12
SUTTER-GARDENS,Multifamily Incentives Program,Brooklyn,11207.0,42.0,1160,BK82,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
COOP CITY.HRP.FY20,Multifamily Finance Program,Bronx,10475.0,12.0,46201,BX13,Preservation,Non Prevailing Wage,0,259,125,0,384,384,384
MOTHER GASTON-HINSDALE,Small Homes Program,Brooklyn,11207.0,42.0,1128,BK85,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11432.0,27.0,460,QN61,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
WEST 141ST STREET CLUSTER.PILLARS.FY20,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,Preservation,Non Prevailing Wage,2,2,18,30,0,30,30
ECDO TRANSFERS TO NYC JOE,Multifamily Finance Program,Manhattan,10026.0,9.0,220,MN11,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
Castleton Park,Multifamily Finance Program,Staten Island,10301.0,49.0,7,SI22,Preservation,Non Prevailing Wage,0,139,313,454,0,454,454
CSH,Multifamily Finance Program,Brooklyn,11233.0,41.0,303,BK79,Preservation,Non Prevailing Wage,0,10,6,16,0,16,16
CULVER EL PHASE I,Small Homes Program,Brooklyn,11218.0,39.0,226,BK88,New Construction,Non Prevailing Wage,0,0,0,0,4,4,4
STAGG 3 - MICKEY'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,448,BX62,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
HELP DUMONT LLC.YR15.FY17,Multifamily Finance Program,Brooklyn,11207.0,42.0,1134,BK85,Preservation,Non Prevailing Wage,23,121,4,150,0,150,150
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,9.0,17401,MN33,Preservation,Non Prevailing Wage,0,7,7,14,0,14,14
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11434.0,28.0,288,QN76,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
40 Riverside Boulevard,Multifamily Incentives Program,Manhattan,10069.0,6.0,151,MN14,New Construction,Non Prevailing Wage,0,0,55,55,0,55,274
MASARYK TOWERS,Multifamily Finance Program,Manhattan,10002.0,2.0,2201,MN28,Preservation,Non Prevailing Wage,0,124,0,0,124,124,124
COOPER SQUARE MHA - PHASE 1.GHPP.FY20,Multifamily Finance Program,Manhattan,10003.0,2.0,38,MN22,Preservation,Non Prevailing Wage,11,8,0,1,18,19,19
RED HOOK GARDENS-ARTICLE XI,Multifamily Incentives Program,Brooklyn,11231.0,38.0,59,BK33,Preservation,Non Prevailing Wage,0,1,1,2,0,2,2
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,7,80,0,80,80
Nehemiah Spring Creek Homes at Gateway Estates 4A,Small Homes Program,Brooklyn,11239.0,42.0,1070,BK82,New Construction,Non Prevailing Wage,0,0,0,0,1,1,1
HOPE EAST OF FIFTH HDFC INC.YR15.FY17,Multifamily Finance Program,Manhattan,10029.0,8.0,182,MN34,Preservation,Non Prevailing Wage,0,1,2,3,0,3,3
KNICKERBOCKER VILLAGE,Multifamily Incentives Program,Manhattan,10002.0,1.0,8,MN27,Preservation,Non Prevailing Wage,0,0,94,106,0,106,106
STAGG 4 - TYLER'S BRONX.HPO.FY19,Multifamily Finance Program,Bronx,10466.0,12.0,404,BX44,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
645 BARRETTO STREET HDFC.GHPP.FY19,Multifamily Finance Program,Bronx,10474.0,17.0,93,BX27,Preservation,Non Prevailing Wage,6,41,0,7,41,48,48
Mermaid  / West. 16th Street,Small Homes Program,Brooklyn,11224.0,47.0,326,BK21,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
Genesis Year 15 Resyndication,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,5,19,24,0,24,24
VAN BUREN/GREENE,Small Homes Program,Brooklyn,11221.0,36.0,263,BK75,New Construction,Non Prevailing Wage,0,0,0,1,1,2,2
79-81 STANHOPE STREET APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,421,BK78,New Construction,Non Prevailing Wage,0,0,0,4,0,4,15
STANHOPE ESTATES APARTMENTS,Multifamily Incentives Program,Brooklyn,11221.0,34.0,421,BK78,New Construction,Non Prevailing Wage,0,0,0,2,0,2,2
MHANY 75,Multifamily Finance Program,Brooklyn,11208.0,37.0,1192,BK82,Preservation,Non Prevailing Wage,0,4,0,4,0,4,4
3603 BARNES AVENUE,Multifamily Incentives Program,Bronx,10467.0,12.0,380,BX44,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
FH HOMES,Multifamily Incentives Program,Manhattan,10032.0,10.0,253,MN36,Preservation,Non Prevailing Wage,0,6,14,21,0,21,21
SOUTHEASTERN QUEENS VACANT HOMES-CLUSTER II,Small Homes Program,Queens,11436.0,28.0,192,QN76,Preservation,Non Prevailing Wage,0,0,0,0,1,1,1
1950 HOBART AVENUE,Multifamily Incentives Program,Bronx,10461.0,13.0,300,BX10,New Construction,Non Prevailing Wage,0,0,0,3,0,3,9
FULTON PARK,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,Preservation,Non Prevailing Wage,0,6,0,6,0,6,6
746 EAST 214TH STREET,Multifamily Incentives Program,Bronx,10467.0,12.0,380,BX44,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
FAC. 6309 FOURTH AVENUE,Multifamily Finance Program,Brooklyn,11220.0,38.0,122,BK32,New Construction,Prevailing Wage,8,0,0,8,0,8,8
Sumpter Marcus LP II,Multifamily Finance Program,Brooklyn,11233.0,37.0,369,BK79,Preservation,Non Prevailing Wage,0,0,6,6,0,6,6
1603 LINCOLN PLACE APARTMENTS,Multifamily Incentives Program,Brooklyn,11233.0,41.0,359,BK61,New Construction,Non Prevailing Wage,0,0,0,4,0,4,13
Fairmont Place HDFC,Multifamily Incentives Program,Bronx,10460.0,17.0,36502,BX17,Preservation,Non Prevailing Wage,0,0,0,26,0,26,26
Promesa Housing Development Fund Corporation,Multifamily Finance Program,Bronx,10452.0,8.0,189,BX26,Preservation,Non Prevailing Wage,0,16,0,0,16,16,16
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,166,MN33,Preservation,Non Prevailing Wage,2,5,2,9,0,9,9
30-68 38TH STREET APARTMENTS,Multifamily Incentives Program,Queens,11103.0,22.0,63,QN70,New Construction,Non Prevailing Wage,0,0,0,7,0,7,23
PENN SOUTH,Multifamily Incentives Program,Manhattan,10001.0,3.0,97,MN13,Preservation,Non Prevailing Wage,70,49,44,0,283,283,378
103-43 120TH STREET APARTMENTS,Multifamily Incentives Program,Queens,11419.0,28.0,15802,QN55,New Construction,Non Prevailing Wage,0,0,0,3,0,3,10
1360 1364 PURDY STREET APARTMENTS,Multifamily Incentives Program,Bronx,10462.0,18.0,222,BX46,New Construction,Non Prevailing Wage,0,0,0,5,0,5,16
MHANY 2,Multifamily Finance Program,Brooklyn,11216.0,36.0,221,BK61,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
2325 BEAUMONT AVENUE APARTMENTS,Multifamily Incentives Program,Bronx,10458.0,15.0,391,BX06,New Construction,Non Prevailing Wage,0,0,0,6,0,6,17
LOTT LEGACY APARTMENTS HDFC.YR15.FY2017,Multifamily Finance Program,Manhattan,10029.0,8.0,170,MN33,Preservation,Non Prevailing Wage,0,5,2,7,0,7,7
Mermaid  / West. 16th Street,Small Homes Program,Brooklyn,11224.0,47.0,330,BK21,New Construction,Non Prevailing Wage,0,0,0,2,1,3,3
ARKER.40 DEBEVOISE STREET,Multifamily Finance Program,Brooklyn,11206.0,34.0,491,BK90,New Construction,Prevailing Wage,64,0,0,65,0,65,65
ESPLANADE GARDENS INCORPORATED.PLP.FY19,Multifamily Finance Program,Manhattan,10039.0,9.0,236,MN03,Preservation,Non Prevailing Wage,16,296,0,0,312,312,312
PS 186 AKA BGCH (BOYS AND GIRLS CLUB OF HARLEM),Multifamily Finance Program,Manhattan,10031.0,7.0,229,MN04,New Construction,Non Prevailing Wage,0,15,48,79,0,79,79
Academy Gardens LLC,Multifamily Finance Program,Bronx,10473.0,18.0,20,BX09,Preservation,Non Prevailing Wage,59,0,0,59,0,59,59
STRIVERS PLAZA II,Multifamily Finance Program,Manhattan,10030.0,9.0,228,MN03,Preservation,Non Prevailing Wage,0,7,10,17,0,17,17
MHANY East NY Partnership,Multifamily Finance Program,Brooklyn,11208.0,42.0,1196,BK82,Preservation,Non Prevailing Wage,0,0,3,3,0,3,3
HABITAT-NYC SINGLE FAMILY HOMES PHASE II,Small Homes Program,Queens,11413.0,31.0,626,QN66,Preservation,Non Prevailing Wage,0,0,1,0,1,1,1
AQUINAS APARTMENTS LP.PLP.FY19,Multifamily Finance Program,Bronx,10457.0,17.0,36901,BX17,Preservation,Non Prevailing Wage,1,16,12,30,0,30,30
STRIVERS PLAZA,Multifamily Finance Program,Manhattan,10030.0,9.0,230,MN03,New Construction,Non Prevailing Wage,0,11,0,54,0,54,54
G&M Properties Phase II,Multifamily Finance Program,Bronx,10456.0,16.0,185,BX35,Preservation,Non Prevailing Wage,0,0,25,25,0,25,25
Sons of Italy Apartments,Multifamily Finance Program,Brooklyn,11214.0,43.0,314,BK26,Preservation,Non Prevailing Wage,104,1,0,106,0,106,106
Crotona Terrace I aka 1825 Boston Road,Multifamily Finance Program,Bronx,10460.0,17.0,161,BX75,New Construction,Non Prevailing Wage,0,0,79,80,0,80,80
Stuy Town Peter Cooper Village,Multifamily Finance Program,Manhattan,10009.0,4.0,44,MN50,Preservation,Non Prevailing Wage,0,0,7,80,0,80,80
880 METRO REALTY,Multifamily Incentives Program,Brooklyn,11211.0,34.0,481,BK90,New Construction,Non Prevailing Wage,0,0,6,6,0,6,28
MHANY 75,Multifamily Finance Program,Brooklyn,11207.0,37.0,403,BK78,Preservation,Non Prevailing Wage,1,1,0,2,0,2,2
15 HUNTERFLY PLACE,Multifamily Incentives Program,Brooklyn,11233.0,36.0,299,BK61,New Construction,Non Prevailing Wage,0,0,0,3,0,3,8
STAGG 2 - JUSTIN'S CORNER.HPO.FY19,Multifamily Finance Program,Bronx,10467.0,15.0,336,BX07,Preservation,Non Prevailing Wage,0,0,8,8,0,8,8
El Caribe Apartments,Multifamily Finance Program,Manhattan,10002.0,2.0,3001,MN27,Preservation,Non Prevailing Wage,0,2,5,8,0,8,8
